region,year,stress.temp,mean_temp,max_temp,stress.temp_mn,mean_temp_mn,max_temp_mn,stress.temp_dev,mean_temp_dev,max_temp_dev,depth,urchin,kelp,latitude,longitude,exposure,coastal,kelp.perc,logit.kelp,urchin.limit,urchin_mn,urchin_dev
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.7,69,44.48045,-67.75111,3,4,0.69,0.8001193001121129,0,2.887755102040818,-2.1877551020408177
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.1,95.5,44.47481,-67.67655,3,4,0.955,3.0550488507104094,0,2.887755102040818,-2.787755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.4,100,44.49083,-67.67248,3,3,0.9995,7.60040233450051,0,2.887755102040818,-2.487755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.1,71.5,44.57199,-67.40965,4,4,0.715,0.919793362425357,0,2.887755102040818,-2.787755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.1,100,44.61639,-67.37083,3,3,0.9995,7.60040233450051,0,2.887755102040818,-2.787755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,4,15.5,44.5983,-67.36613,3,3,0.155,-1.6959115104379272,0,2.887755102040818,1.1122448979591821
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0,94.5,44.56679,-67.36595,4,4,0.945,2.843851742261271,0,2.887755102040818,-2.887755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0,90.5,44.64724,-67.33172,3,3,0.905,2.2540580520993854,0,2.887755102040818,-2.887755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,1.8,99,44.61868,-67.23797,4,4,0.99,4.595119850134589,0,2.887755102040818,-1.0877551020408178
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,10.9,72.5,44.64483,-67.18714,5,3,0.725,0.9694005571881035,1,2.887755102040818,8.012244897959182
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,0.9,92,44.6624,-67.16127,4,3,0.92,2.442347035369205,0,2.887755102040818,-1.987755102040818
downeast,2001,0,12.143680836750434,14.3413342178926,0.47777777777777786,11.748042647239586,15.167292401022264,-0.47777777777777786,0.39563818951084784,-0.8259581831296643,5,23.8,76.5,44.69334,-67.12844,4,3,0.765,1.180290319682377,1,2.887755102040818,20.912244897959184
