year,region,exposure.code,coastal.code,latitude,longitude,depth,crust,understory,kelp,urchin,month,day,survey,site,desm
2003,penobscot.bay,3,3,43.97971,-69.12259,5,48,47,88,0,5,29,rasher_steneck,73,NA
2003,penobscot.bay,5,4,43.86717,-69.12148,5,53.5,21.5,92,0,5,28,rasher_steneck,62,NA
2003,penobscot.bay,5,4,43.92593,-69.04681,5,82.5,37.5,94.5,13.7,5,28,rasher_steneck,65,NA
2003,penobscot.bay,5,4,43.89904,-69.0094,5,82.5,54,98.5,4,5,28,rasher_steneck,64,NA
2003,penobscot.bay,3,3,44.07493,-68.90949,5,83.5,40,39.5,0,6,2,rasher_steneck,81,NA
2003,penobscot.bay,5,4,44.01216,-68.83483,5,78,54.5,93,0,6,3,rasher_steneck,85,NA
2003,penobscot.bay,4,4,44.0435,-68.77209,5,36.5,37,87,0,6,3,rasher_steneck,88,NA
2003,penobscot.bay,5,5,44.00297,-68.76596,5,85.5,51,92.5,0.1,6,3,rasher_steneck,87,NA
2003,penobscot.bay,4,4,44.06534,-68.67213,5,83.5,31,89,1,6,3,rasher_steneck,90,NA
2003,penobscot.bay,5,5,44.00269,-68.65365,5,58,81,75.5,0,6,3,rasher_steneck,89,NA
2003,penobscot.bay,3,4,44.0199,-68.60991,5,55,62.5,75.5,0,6,4,rasher_steneck,95,NA
2003,mdi,4,4,44.04203,-68.55328,5,80.5,37,98,0,6,4,rasher_steneck,96,NA
2003,mdi,4,4,44.10944,-68.53449,5,43,54,78,0,6,4,rasher_steneck,101,NA
2003,mdi,4,4,44.08216,-68.49644,5,69.5,43.5,92,0,6,4,rasher_steneck,100,NA
2003,mdi,3,4,44.11361,-68.48447,5,28,31,85.5,0,6,9,rasher_steneck,109,NA
2003,mdi,3,4,44.13936,-68.39676,5,73.5,55,74.5,0,6,10,rasher_steneck,114,NA
2003,mdi,3,4,44.15414,-68.33966,5,81,47,98,0.2,6,10,rasher_steneck,115,NA
2003,mdi,4,4,44.17505,-68.24911,5,59.5,79,92,0,6,10,rasher_steneck,120,NA
2003,mdi,3,3,44.2956,-68.21233,5,42,50.5,74,5,6,10,rasher_steneck,125,NA
2003,mdi,3,4,44.24672,-68.19525,5,91.5,36.5,57.5,15.9,6,10,rasher_steneck,123,NA
2003,mdi,3,3,44.34962,-68.09968,5,40,73,56.5,7.5,6,17,rasher_steneck,146,NA
2003,mdi,4,4,44.34495,-68.07471,5,24.5,57,75.5,8.4,6,17,rasher_steneck,144,NA
2003,downeast,4,3,44.35362,-68.02432,5,79,53.5,96,0.2,6,17,rasher_steneck,142,NA
2003,downeast,5,5,44.37147,-68.00073,5,82,30,97,0,6,16,rasher_steneck,135,NA
2003,downeast,5,5,44.36687,-67.9865,5,39.5,36.5,100,0.5,6,16,rasher_steneck,134,NA
2003,downeast,4,3,44.38488,-67.9862,5,77,21.5,77.5,4.7,6,16,rasher_steneck,136,NA
2003,downeast,4,3,44.39865,-67.94713,5,77,23.5,69,4,6,16,rasher_steneck,131,NA
2003,downeast,5,5,44.36654,-67.93627,5,90.5,15,67.5,22.5,6,16,rasher_steneck,128,NA
2003,downeast,4,3,44.40235,-67.90532,5,83,52.5,87,1.1,6,16,rasher_steneck,129,NA
