year,region,temp_source,mean_temp_spring,mean_temp_summer,max_temp_spring,max_temp_summer,min_temp_spring,min_temp_summer,degree_heat_days_15_spring,degree_heat_days_15_summer,degree_heat_days_20_spring,degree_heat_days_20_summer
2015,penobscot.bay,F01.1m,3.781521739130435,13.946739130434782,11.5,18.2,-0.7,8.4,0,33,0,0
2015,york,B01.1mc,5.342391304347826,16.43695652173913,10.6,20.8,1.9,8.8,0,65,0,10
2016,casco.bay,casco,6.275724637532609,16.09393443282609,12.55833333,19.50833333,3.454166667,11.60869565,0,60,0,0
2016,downeast,noaa44027.1m,5.825,12.177173913043479,8.6,14.9,4.2,8.6,0,0,0,0
2016,mdi,I01.1m,5.809782608695652,12.047826086956523,9.1,14.6,4.3,8.5,0,0,0,0
2016,midcoast,E01.1m,6.092391304347825,15.227173913043478,11.1,18.5,3.8,9.9,0,61,0,0
2016,penobscot.bay,F01.1m,5.876086956521739,14.560869565217391,12.8,18.2,1.7,10.4,0,44,0,0
2016,york,B01.1mc,6.553260869565218,17.125,13.1,20.9,4.3,12.3,0,62,0,13
2017,casco.bay,casco,5.910964919173913,15.191302941336957,11.25416667,19.475,3.041666667,9.583333333,0,54,0,0
2017,downeast,noaa44027.1m,4.91195652173913,11.157608695652174,7.6,14.3,3.3,7.5,0,0,0,0
2017,mdi,I01.1m,4.991304347826087,10.84891304347826,8.2,14.2,3.1,6.5,0,0,0,0
2017,midcoast,E01.1m,5.4554347826086955,14.361956521739131,9.9,18.3,2.8,8.1,0,44,0,0
2017,penobscot.bay,F01.1m,5.037931034482758,13.546739130434782,11.2,16.4,1.3,9.3,0,24,0,0
2017,york,B01.1mc,6.359782608695651,15.780434782608696,11.4,21.1,3.6,9.2,0,58,0,5
2018,casco.bay,casco,NA,18.183896680645162,NA,20.54347826,NA,15.2875,NA,62,NA,2
2018,downeast,noaa44027.1m,5.488043478260869,12.617391304347827,10,16.9,3.8,8.8,0,11,0,0
2018,mdi,I01.1m,5.673913043478261,11.910869565217391,9.1,15.4,4,8,0,5,0,0
2018,midcoast,E01.1m,6.7835820895522385,15.291304347826086,11,20.6,4.2,9.9,0,57,0,3
2018,penobscot.bay,F01.1m,5.783695652173913,14.556521739130435,11.5,19,2.8,9.7,0,44,0,0
2018,york,B01.1mc,6.773913043478262,17.64673913043478,12.9,21.5,3.8,12.1,0,72,0,15
